Domain (6) x Act (5) x Attr (8) = 240 theoretical combinations
Domain                    Act          Attr         Possible   Mapped     Example
------------------------------------------------------------------------------------------------------------------------
SYMPTOM_ANALYSIS          ASK          CAUSE        [Y]        [MAPPED]   -
SYMPTOM_ANALYSIS          ASK          SYMPTOM      [Y]        [MAPPED]   -
SYMPTOM_ANALYSIS          ASK          BASIC        [N]        [ - ]      -
SYMPTOM_ANALYSIS          ASK          CHECKUP      [Y]        [MAPPED]   -
SYMPTOM_ANALYSIS          ASK          VISIT        [Y]        [MAPPED]   -
SYMPTOM_ANALYSIS          ASK          PREVENT      [N]        [ - ]      -
SYMPTOM_ANALYSIS          ASK          DIAGNOSE     [Y]        [ - ]      -
SYMPTOM_ANALYSIS          ASK          CAUTION      [Y]        [ - ]      -
SYMPTOM_ANALYSIS          CONFIRM      CAUSE        [Y]        [ - ]      -
SYMPTOM_ANALYSIS          CONFIRM      SYMPTOM      [Y]        [ - ]      -
SYMPTOM_ANALYSIS          CONFIRM      BASIC        [N]        [ - ]      -
SYMPTOM_ANALYSIS          CONFIRM      CHECKUP      [Y]        [ - ]      -
SYMPTOM_ANALYSIS          CONFIRM      VISIT        [Y]        [ - ]      -
SYMPTOM_ANALYSIS          CONFIRM      PREVENT      [N]        [ - ]      -
SYMPTOM_ANALYSIS          CONFIRM      DIAGNOSE     [Y]        [ - ]      我这是不是偏头痛
SYMPTOM_ANALYSIS          CONFIRM      CAUTION      [Y]        [MAPPED]   -
SYMPTOM_ANALYSIS          SEEK_HELP    CAUSE        [Y]        [ - ]      -
SYMPTOM_ANALYSIS          SEEK_HELP    SYMPTOM      [Y]        [ - ]      -
SYMPTOM_ANALYSIS          SEEK_HELP    BASIC        [N]        [ - ]      -
SYMPTOM_ANALYSIS          SEEK_HELP    CHECKUP      [Y]        [ - ]      -
SYMPTOM_ANALYSIS          SEEK_HELP    VISIT        [Y]        [MAPPED]   需要去医院吗
SYMPTOM_ANALYSIS          SEEK_HELP    PREVENT      [N]        [ - ]      -
SYMPTOM_ANALYSIS          SEEK_HELP    DIAGNOSE     [Y]        [MAPPED]   我头疼
SYMPTOM_ANALYSIS          SEEK_HELP    CAUTION      [Y]        [MAPPED]   -
SYMPTOM_ANALYSIS          DEBUNK       CAUSE        [N]        [ - ]      -
SYMPTOM_ANALYSIS          DEBUNK       SYMPTOM      [N]        [ - ]      -
SYMPTOM_ANALYSIS          DEBUNK       BASIC        [N]        [ - ]      -
SYMPTOM_ANALYSIS          DEBUNK       CHECKUP      [N]        [ - ]      -
SYMPTOM_ANALYSIS          DEBUNK       VISIT        [N]        [ - ]      -
SYMPTOM_ANALYSIS          DEBUNK       PREVENT      [N]        [ - ]      -
SYMPTOM_ANALYSIS          DEBUNK       DIAGNOSE     [N]        [ - ]      -
SYMPTOM_ANALYSIS          DEBUNK       CAUTION      [N]        [ - ]      -
SYMPTOM_ANALYSIS          ANALYZE      CAUSE        [Y]        [ - ]      -
SYMPTOM_ANALYSIS          ANALYZE      SYMPTOM      [Y]        [ - ]      -
SYMPTOM_ANALYSIS          ANALYZE      BASIC        [N]        [ - ]      -
